year,fips,state_fips,county_fips,CountyName,StateName,MetroStatus,DiabetesPopulation20Over,TotalPopulationInferred20Over,diabetes_prev
2007,1001,1,1,Autauga County,Alabama,1.0,4044.0,35474.0,11.399898517223882
2011,1001,1,1,Autauga County,Alabama,1.0,4748.0,39240.0,12.099898063200817
2009,1001,1,1,Autauga County,Alabama,1.0,4338.0,35268.0,12.300102075535897
2006,1001,1,1,Autauga County,Alabama,1.0,4038.0,35421.0,11.40001693910392
2012,1001,1,1,Autauga County,Alabama,1.0,4724.0,39367.0,11.99989839205426
2010,1001,1,1,Autauga County,Alabama,1.0,4560.0,38644.0,11.800020701790706
2013,1001,1,1,Autauga County,Alabama,1.0,5144.0,39569.0,13.000075816927392
2008,1001,1,1,Autauga County,Alabama,1.0,4112.0,36070.0,11.400055447740504
2011,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,11.500003589040505
2010,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,11.799975230032857
2008,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,9.799981451139208
2006,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,9.100021309676961
2012,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,10.800013992374156
2009,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,11.399959764847889
2007,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,9.400035883954413
2013,1003,1,3,Baldwin County,Alabama,1.0,11281.5,110832.0,10.399972929074174
2010,1005,1,5,Barbour County,Alabama,,2945.0,20739.0,14.200298953662182
2012,1005,1,5,Barbour County,Alabama,,3377.0,20846.0,16.19975055166459
2008,1005,1,5,Barbour County,Alabama,,2979.0,21904.0,13.600255661066472
2013,1005,1,5,Barbour County,Alabama,,3813.0,20723.0,10.200333889816362
2011,1005,1,5,Barbour County,Alabama,,3085.0,20845.0,14.799712161189735
2006,1005,1,5,Barbour County,Alabama,,2571.0,20734.0,12.399922832063277
2009,1005,1,5,Barbour County,Alabama,,3122.0,22300.0,14.000000000000002
2007,1005,1,5,Barbour County,Alabama,,2711.0,20854.0,12.999904095137623
2008,1007,1,7,Bibb County,Alabama,1.0,1794.0,16162.0,11.100111372354906
2010,1007,1,7,Bibb County,Alabama,1.0,1906.0,17171.0,11.10011065168016
2007,1007,1,7,Bibb County,Alabama,1.0,1849.0,15940.0,11.599749058971142
2012,1007,1,7,Bibb County,Alabama,1.0,2276.0,17242.0,13.200324788307622
2013,1007,1,7,Bibb County,Alabama,1.0,2557.0,17277.0,14.800023152167622
2011,1007,1,7,Bibb County,Alabama,1.0,2181.0,17173.0,12.700168869737377
2006,1007,1,7,Bibb County,Alabama,1.0,1738.0,15945.0,10.899968642207588
2009,1007,1,7,Bibb County,Alabama,1.0,1888.0,16000.0,11.799999999999999
2012,1009,1,9,Blount County,Alabama,1.0,5869.0,42529.0,13.79999529732653
2008,1009,1,9,Blount County,Alabama,1.0,4833.0,42395.0,11.399929236938318
2010,1009,1,9,Blount County,Alabama,1.0,5841.0,41721.0,14.00014381246854
2011,1009,1,9,Blount County,Alabama,1.0,5578.0,42258.0,13.199867480713712
2006,1009,1,9,Blount County,Alabama,1.0,4009.0,41760.0,9.600095785440613
2013,1009,1,9,Blount County,Alabama,1.0,5990.0,42482.0,14.100089449649264
2007,1009,1,9,Blount County,Alabama,1.0,4363.0,41552.0,10.500096264921064
2009,1009,1,9,Blount County,Alabama,1.0,5403.0,42881.0,12.599986007788996
2008,1011,1,11,Bullock County,Alabama,,1200.0,8054.0,14.899428855227217
2013,1011,1,11,Bullock County,Alabama,,1588.0,8102.0,10.200333889816362
2011,1011,1,11,Bullock County,Alabama,,1426.0,8102.0,10.200333889816362
2010,1011,1,11,Bullock County,Alabama,,1436.0,8206.0,10.200333889816362
2012,1011,1,11,Bullock County,Alabama,,1527.0,8210.0,10.200333889816362
2006,1011,1,11,Bullock County,Alabama,,1118.0,7986.0,13.999499123466066
2009,1011,1,11,Bullock County,Alabama,,1248.0,8000.0,15.6
